Feature00,Feature01,Feature02,Feature03,Feature04,Feature05,Feature06,Feature07,Feature08,Feature09,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,target
0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,14.0,1,1,1,1,8,8,14.0,1,3
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,14.0,1,1,1,1,8,8,14.0,1,3
10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
0.0,20.0,9,7,12.0,7,9.0,14.0,8,5,4,2,32.0,36.0,6,4,2,2,47.0,75.0,3,13.0,2,20.0,0,1,0,0,4,6,8.0,0,4
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,20.0,1,1,1,1,8,8,14.0,1,3
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,16.0,1,1,1,1,8,8,14.0,1,4
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,16.0,1,1,1,1,8,8,14.0,1,4
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,20.0,1,1,1,1,8,8,14.0,1,4
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,19.0,1,1,1,1,8,8,14.0,1,3
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,16.0,1,1,1,1,8,8,14.0,1,3
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,16.0,1,1,1,1,8,8,14.0,1,4
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,19.0,1,1,1,1,8,8,14.0,1,3
0.0,20.0,9,7,12.0,7,9.0,14.0,8,5,4,2,32.0,36.0,6,4,2,2,47.0,75.0,3,13.0,2,20.0,0,1,0,0,4,6,8.0,0,4
0.0,29.0,9,7,12.0,7,15.0,15.0,8,5,5,1,45.0,40.0,4,4,2,1,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
0.0,29.0,9,7,12.0,7,15.0,15.0,8,5,5,1,45.0,40.0,4,4,2,1,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
20.0,12.0,9,7,12.0,7,12.0,9.0,8,5,4,4,6.0,7.0,6,4,2,2,47.0,78.0,3,13.0,2,20.0,1,1,0,0,2,6,10.0,0,4
0.0,29.0,9,7,12.0,7,15.0,15.0,8,5,5,1,45.0,40.0,4,4,2,1,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,2
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,15.0,1,1,1,1,8,8,14.0,1,2
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
14.0,4.0,9,7,12.0,7,11.0,12.0,8,5,3,1,3.0,2.0,4,5,6,3,47.0,81.0,3,13.0,2,20.0,0,1,0,0,3,7,11.0,0,5
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
23.0,31.0,4,4,6.0,4,15.0,17.0,3,4,5,5,45.0,69.0,5,6,5,6,36.0,88.0,0,13.0,2,20.0,0,0,1,1,8,8,14.0,1,3
23.0,31.0,4,4,6.0,4,15.0,17.0,3,4,5,5,45.0,69.0,5,6,5,6,36.0,88.0,0,13.0,2,20.0,0,1,1,1,8,8,14.0,1,5
23.0,31.0,4,4,6.0,4,15.0,17.0,3,4,5,5,45.0,69.0,5,6,5,6,35.0,88.0,0,13.0,2,18.0,0,1,1,1,8,8,14.0,1,5
23.0,31.0,6,4,7.0,4,15.0,17.0,4,4,5,5,45.0,69.0,5,6,5,6,47.0,60.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,5
23.0,31.0,6,4,7.0,4,7.0,8.0,4,4,1,2,41.0,48.0,5,4,5,4,43.0,59.0,3,13.0,2,20.0,1,0,0,2,8,8,14.0,0,4
23.0,31.0,6,4,7.0,4,15.0,17.0,4,4,5,5,45.0,69.0,5,6,5,6,47.0,58.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,5
23.0,31.0,6,4,7.0,4,8.0,16.0,4,4,0,1,29.0,46.0,5,4,5,1,47.0,57.0,3,13.0,2,20.0,0,0,0,0,2,7,14.0,0,5
23.0,31.0,6,4,7.0,4,6.0,6.0,4,4,1,2,3.0,2.0,5,5,5,4,47.0,56.0,3,13.0,2,20.0,0,0,0,0,4,6,13.0,0,4
23.0,31.0,6,4,7.0,4,5.0,7.0,4,4,4,4,32.0,42.0,5,4,5,2,47.0,55.0,3,13.0,2,20.0,0,0,0,0,4,6,13.0,0,2
7.0,23.0,6,4,7.0,4,12.0,9.0,4,4,1,2,44.0,68.0,3,3,1,4,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,1
23.0,31.0,3,6,12.0,7,4.0,9.0,4,4,0,1,43.0,22.0,5,4,5,1,47.0,71.0,3,13.0,2,20.0,0,0,0,0,4,7,13.0,0,3
23.0,31.0,3,6,12.0,7,11.0,12.0,4,4,4,4,3.0,2.0,5,5,5,2,42.0,68.0,3,13.0,2,20.0,1,0,0,0,2,6,13.0,0,2
4.0,12.0,3,6,12.0,7,11.0,12.0,4,4,4,4,3.0,2.0,4,5,4,2,42.0,68.0,3,13.0,2,20.0,1,1,0,0,2,6,13.0,0,2
4.0,1.0,3,6,12.0,7,11.0,12.0,4,4,2,3,4.0,28.0,4,5,4,5,47.0,54.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,2
23.0,31.0,2,6,8.0,7,15.0,17.0,5,4,5,5,45.0,69.0,5,6,5,6,34.0,88.0,2,9.0,2,11.0,1,0,1,1,8,8,14.0,1,1
23.0,31.0,2,6,8.0,7,15.0,17.0,5,4,5,5,45.0,69.0,5,6,5,6,34.0,88.0,2,9.0,2,10.0,1,0,1,1,8,8,14.0,1,1
2.0,14.0,5,6,12.0,7,11.0,12.0,4,4,4,4,3.0,2.0,4,5,4,2,42.0,68.0,3,13.0,2,20.0,1,1,0,0,2,6,13.0,0,2
2.0,21.0,5,6,12.0,7,11.0,12.0,4,4,2,3,1.0,4.0,4,5,4,5,47.0,54.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,2
23.0,31.0,3,4,12.0,6,15.0,17.0,4,3,5,5,45.0,69.0,5,6,5,6,47.0,53.0,3,13.0,2,20.0,1,0,0,0,2,6,14.0,0,2
23.0,31.0,6,4,11.0,6,15.0,17.0,4,3,5,5,45.0,69.0,5,6,5,6,47.0,52.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,2
23.0,31.0,5,4,6.0,6,15.0,17.0,5,3,5,5,45.0,69.0,5,6,5,6,33.0,88.0,2,8.0,2,9.0,1,0,1,1,8,8,14.0,1,5
23.0,31.0,6,4,11.0,6,15.0,17.0,4,3,5,5,45.0,69.0,5,6,5,6,47.0,51.0,3,13.0,2,20.0,1,0,2,2,8,8,14.0,2,4
10.0,12.0,5,6,7.0,4,13.0,14.0,4,4,2,4,40.0,29.0,6,4,1,5,47.0,84.0,3,13.0,2,20.0,0,0,0,0,5,7,13.0,0,1
23.0,31.0,5,6,7.0,4,8.0,16.0,4,4,2,3,22.0,42.0,5,4,5,5,47.0,69.0,3,13.0,2,20.0,0,0,0,0,1,7,13.0,0,1
17.0,1.0,5,5,7.0,6,13.0,14.0,4,3,2,4,38.0,27.0,6,4,4,1,47.0,84.0,3,13.0,2,20.0,0,0,0,0,5,7,13.0,0,5
23.0,31.0,5,7,9.0,4,13.0,8.0,8,3,4,2,20.0,41.0,5,3,5,2,43.0,59.0,3,13.0,2,20.0,1,0,0,2,8,8,14.0,0,4
23.0,31.0,5,7,6.0,4,15.0,17.0,5,3,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,8.0,1,0,1,1,8,8,14.0,1,5
21.0,1.0,5,7,9.0,4,13.0,9.0,8,3,1,1,43.0,25.0,4,5,6,4,47.0,71.0,3,13.0,2,20.0,0,1,0,0,4,7,13.0,0,3
0.0,18.0,5,7,9.0,4,14.0,13.0,8,3,0,0,1.0,1.0,1,4,6,3,47.0,50.0,3,13.0,2,18.0,0,1,0,0,4,6,13.0,0,5
0.0,18.0,5,7,9.0,4,14.0,13.0,8,3,0,0,1.0,1.0,1,4,6,3,47.0,50.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,5
0.0,18.0,5,7,9.0,4,14.0,13.0,8,3,0,0,1.0,1.0,1,4,6,3,47.0,50.0,3,13.0,2,18.0,0,1,0,0,4,6,13.0,0,5
8.0,22.0,5,7,9.0,4,15.0,5.0,8,3,5,3,45.0,10.0,1,1,4,5,32.0,49.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,2
8.0,22.0,5,7,9.0,4,15.0,5.0,8,3,5,3,45.0,10.0,1,1,4,5,32.0,49.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,2
23.0,31.0,2,7,5.0,4,15.0,17.0,2,3,5,5,45.0,69.0,5,6,5,6,31.0,88.0,0,13.0,2,20.0,0,0,1,1,8,8,14.0,1,4
23.0,31.0,5,7,9.0,4,3.0,7.0,8,3,2,4,22.0,24.0,5,4,5,1,47.0,48.0,3,13.0,2,20.0,0,0,0,0,2,4,14.0,0,1
23.0,31.0,5,7,9.0,4,15.0,11.0,8,3,5,4,45.0,15.0,5,4,5,4,47.0,47.0,3,13.0,2,20.0,0,0,0,0,2,7,14.0,0,4
23.0,31.0,5,7,9.0,4,9.0,4.0,8,3,0,0,16.0,14.0,5,3,5,1,47.0,46.0,3,13.0,2,20.0,0,0,0,0,4,3,7.0,0,3
23.0,31.0,5,7,9.0,4,8.0,3.0,8,3,1,2,11.0,64.0,5,4,5,4,47.0,45.0,3,13.0,2,20.0,1,0,0,0,2,2,6.0,0,3
23.0,31.0,5,7,9.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,38.0,44.0,3,13.0,2,20.0,1,0,2,2,8,8,14.0,2,3
4.0,1.0,5,7,9.0,4,11.0,12.0,8,3,2,3,7.0,66.0,4,5,4,5,47.0,54.0,3,13.0,2,20.0,0,0,0,0,4,6,13.0,0,4
23.0,31.0,5,7,9.0,4,13.0,15.0,8,3,0,1,43.0,62.0,5,5,5,1,47.0,65.0,3,13.0,2,20.0,0,0,0,0,4,7,13.0,0,4
23.0,31.0,2,7,4.0,4,15.0,17.0,1,3,5,5,45.0,69.0,5,6,5,6,33.0,88.0,2,7.0,2,7.0,1,0,1,1,8,8,14.0,1,1
23.0,31.0,5,7,9.0,4,4.0,14.0,8,3,1,2,8.0,8.0,5,5,5,0,47.0,43.0,3,13.0,2,20.0,0,0,0,0,4,6,5.0,0,1
23.0,31.0,5,7,9.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,47.0,42.0,3,13.0,2,20.0,0,0,0,0,4,7,11.0,0,4
6.0,9.0,5,7,9.0,4,2.0,8.0,8,3,1,4,24.0,30.0,6,4,3,4,47.0,77.0,3,13.0,2,20.0,0,0,0,0,4,6,13.0,0,3
23.0,31.0,5,7,9.0,4,5.0,7.0,8,3,2,3,22.0,21.0,5,5,5,5,47.0,55.0,3,13.0,2,20.0,0,0,0,0,4,6,13.0,0,3
23.0,31.0,5,3,9.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,47.0,41.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,1
20.0,13.0,5,3,9.0,4,9.0,4.0,8,3,0,0,16.0,14.0,4,3,3,1,47.0,46.0,3,13.0,2,20.0,0,0,0,0,4,3,7.0,0,2
23.0,31.0,5,3,9.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,47.0,40.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,2
23.0,31.0,5,3,9.0,4,1.0,7.0,8,3,2,3,2.0,4.0,5,4,5,4,47.0,55.0,3,13.0,2,18.0,0,0,0,0,4,6,13.0,0,3
22.0,26.0,5,3,9.0,4,1.0,7.0,8,3,2,3,2.0,4.0,6,4,3,4,47.0,55.0,3,13.0,2,18.0,0,1,0,0,4,6,13.0,0,3
23.0,31.0,5,3,9.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,47.0,39.0,3,13.0,2,18.0,1,0,0,0,4,6,13.0,0,1
23.0,31.0,5,5,7.0,5,15.0,17.0,4,2,5,5,45.0,69.0,5,6,5,6,47.0,38.0,3,13.0,2,18.0,0,0,2,0,8,8,14.0,2,5
23.0,31.0,5,5,7.0,5,15.0,17.0,4,2,5,5,45.0,69.0,5,6,5,6,47.0,37.0,3,13.0,2,18.0,0,0,0,0,7,1,4.0,0,1
23.0,31.0,8,5,5.0,5,15.0,17.0,2,2,5,5,45.0,69.0,5,6,5,6,30.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,1
23.0,31.0,8,5,5.0,5,15.0,17.0,2,2,5,5,45.0,69.0,5,6,5,6,29.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,3
23.0,31.0,8,5,5.0,5,15.0,17.0,2,2,5,5,45.0,69.0,5,6,5,6,30.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,4
20.0,28.0,5,5,9.0,5,2.0,13.0,8,2,3,1,33.0,43.0,6,4,6,3,47.0,50.0,3,13.0,2,18.0,0,1,0,0,4,6,13.0,0,3
18.0,31.0,5,5,9.0,5,15.0,17.0,8,2,5,5,45.0,69.0,6,6,1,6,47.0,39.0,3,13.0,2,18.0,1,1,0,0,4,6,13.0,0,3
19.0,30.0,5,5,9.0,5,1.0,7.0,8,2,2,3,2.0,4.0,6,4,3,4,47.0,55.0,3,13.0,2,18.0,0,1,0,0,4,6,13.0,0,4
23.0,31.0,8,5,5.0,6,15.0,17.0,2,3,5,5,45.0,69.0,5,6,5,6,28.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,5
23.0,31.0,5,5,7.0,6,13.0,8.0,4,3,4,4,10.0,34.0,5,4,5,2,43.0,59.0,3,13.0,2,18.0,1,0,0,2,8,8,14.0,0,1
15.0,17.0,5,5,7.0,6,13.0,8.0,4,3,4,4,10.0,34.0,0,4,1,2,43.0,59.0,3,13.0,2,18.0,1,0,0,2,8,8,14.0,0,5
23.0,31.0,8,5,5.0,6,15.0,17.0,2,3,5,5,45.0,69.0,5,6,5,6,28.0,88.0,0,13.0,2,18.0,0,1,1,1,8,8,14.0,1,2
23.0,31.0,5,5,7.0,5,15.0,13.0,4,4,5,4,45.0,58.0,5,5,5,2,47.0,36.0,3,13.0,2,18.0,0,0,0,0,4,0,3.0,0,3
23.0,31.0,7,5,10.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,43.0,88.0,1,13.0,1,6.0,1,1,1,1,8,8,14.0,1,1
5.0,28.0,1,2,7.0,6,13.0,14.0,4,3,2,4,26.0,50.0,6,4,4,5,47.0,84.0,3,13.0,2,18.0,0,0,0,0,5,7,13.0,0,2
23.0,31.0,3,2,3.0,6,11.0,13.0,4,3,1,4,0.0,59.0,5,5,5,4,47.0,73.0,3,13.0,2,18.0,0,0,0,0,4,7,14.0,0,1
23.0,31.0,3,3,3.0,6,2.0,13.0,4,3,3,4,9.0,63.0,5,5,5,3,47.0,35.0,3,13.0,2,18.0,0,0,0,0,4,5,14.0,0,1
23.0,31.0,7,2,10.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,0,1,1,8,8,14.0,1,3
23.0,31.0,5,2,3.0,6,4.0,14.0,4,3,4,4,35.0,35.0,5,4,5,2,47.0,75.0,3,13.0,2,18.0,0,0,0,0,4,6,8.0,0,1
14.0,19.0,5,2,3.0,6,10.0,10.0,4,3,3,1,31.0,33.0,3,3,6,3,26.0,79.0,3,13.0,2,18.0,1,0,2,2,8,8,14.0,2,2
19.0,24.0,1,2,11.0,6,13.0,8.0,4,3,4,4,10.0,34.0,0,4,1,2,43.0,59.0,3,13.0,2,18.0,1,0,0,2,8,8,14.0,0,3
23.0,31.0,7,2,2.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,0,1,1,8,8,14.0,1,4
23.0,31.0,7,2,2.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,1,1,1,8,8,14.0,1,4
23.0,31.0,7,2,2.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,1,1,1,8,8,14.0,1,3
23.0,31.0,7,2,2.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,1,1,1,8,8,14.0,1,4
23.0,31.0,7,2,2.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,1,1,1,8,8,14.0,1,3
23.0,31.0,8,2,5.0,6,15.0,17.0,2,3,5,5,45.0,69.0,5,6,5,6,31.0,88.0,0,13.0,2,20.0,0,1,1,1,8,8,14.0,1,4
23.0,31.0,7,2,2.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,1,1,1,8,8,14.0,1,3
23.0,31.0,3,6,3.0,6,15.0,17.0,4,1,5,5,45.0,69.0,5,6,5,6,25.0,34.0,3,13.0,2,18.0,1,0,2,0,0,7,14.0,0,2
23.0,31.0,3,6,9.0,3,15.0,17.0,0,1,5,5,45.0,69.0,5,6,5,6,24.0,33.0,3,13.0,2,18.0,1,0,0,0,2,6,14.0,0,1
23.0,31.0,0,2,7.0,4,4.0,14.0,0,0,2,3,36.0,37.0,5,4,5,2,47.0,87.0,3,13.0,2,18.0,0,0,0,0,7,7,13.0,0,4
23.0,31.0,0,2,7.0,4,15.0,2.0,0,0,5,4,45.0,2.0,5,4,5,2,23.0,32.0,3,13.0,2,18.0,0,0,0,0,2,6,14.0,0,4
23.0,31.0,0,1,7.0,2,15.0,12.0,0,0,5,2,45.0,0.0,5,5,5,4,47.0,31.0,3,13.0,2,18.0,0,0,2,0,0,8,14.0,0,5
23.0,31.0,0,1,7.0,5,13.0,14.0,0,0,2,4,18.0,52.0,5,5,5,2,47.0,84.0,3,13.0,2,18.0,0,0,0,0,5,7,13.0,0,1
23.0,31.0,0,1,7.0,5,11.0,12.0,0,0,4,4,3.0,2.0,5,5,5,2,47.0,30.0,3,13.0,2,18.0,1,0,0,0,4,6,13.0,0,1
23.0,31.0,0,1,7.0,5,15.0,17.0,0,0,5,5,45.0,69.0,5,6,5,6,47.0,29.0,3,13.0,2,18.0,0,0,0,0,6,7,2.0,0,1
23.0,31.0,0,1,7.0,5,15.0,17.0,0,0,5,5,45.0,69.0,5,6,5,6,48.0,28.0,3,13.0,2,18.0,1,0,2,2,8,8,14.0,2,1
23.0,31.0,0,1,7.0,5,13.0,14.0,0,0,2,4,15.0,51.0,5,4,5,1,47.0,84.0,3,13.0,2,18.0,0,0,0,0,5,7,13.0,0,5
23.0,31.0,0,6,7.0,1,15.0,17.0,0,0,5,5,45.0,69.0,5,6,5,6,44.0,27.0,3,13.0,2,18.0,0,0,2,0,8,8,14.0,2,4
0.0,16.0,0,6,7.0,1,13.0,14.0,0,0,2,4,15.0,51.0,4,4,6,1,47.0,84.0,3,13.0,2,18.0,0,0,0,0,5,7,13.0,0,4
23.0,31.0,5,6,1.0,1,15.0,17.0,2,0,5,5,45.0,69.0,5,6,5,6,22.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,1
23.0,31.0,3,5,8.0,1,15.0,17.0,0,0,5,5,45.0,69.0,5,6,5,6,39.0,26.0,3,13.0,2,18.0,1,0,0,0,2,5,14.0,0,2
23.0,31.0,3,5,8.0,1,15.0,17.0,0,0,5,5,45.0,69.0,5,6,5,6,47.0,25.0,3,13.0,2,18.0,1,0,0,0,4,7,5.0,0,4
23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,0,1,1,8,8,14.0,1,5
23.0,31.0,2,5,11.0,1,15.0,17.0,2,0,5,5,45.0,69.0,5,6,5,6,21.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,2
23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
